"Participant_ID","Group","Treatment","Word_Count","Character_Count","Criterion_Score","Mechanics_Errors","Grammar_Errors","Usage_Errors","Style_Errors","Delete_Key_Count","Mechanic_Errors/WC","Grammar_Errors/WC","Usage_Errors/WC","Style_Errors/WC","Delete_Key/CC"
"T138","BH","DT",281,1791,4,2,0,1,16,1062,0.00711743772241993,0,0.00355871886120996,0.0569395017793594,0.592964824120603
"T138","BH","ST",178,1104,3,1,1,1,10,192,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.0561797752808989,0.173913043478261
"T139","BH","DT",165,1013,3,6,0,4,1,NA,0.0363636363636364,0,0.0242424242424242,0.00606060606060606,NA
"T139","BH","ST",125,761,2,1,1,1,4,NA,0.008,0.008,0.008,0.032,NA
"T141","BH","DT",186,1206,3,7,0,1,0,1046,0.0376344086021505,0,0.00537634408602151,0,0.867330016583748
"T141","BH","ST",116,732,3,3,0,0,13,127,0.0258620689655172,0,0,0.112068965517241,0.173497267759563
"T144","BH","DT",180,1107,3,9,0,1,11,1500,0.05,0,0.00555555555555556,0.0611111111111111,1.3550135501355
"T144","BH","ST",168,997,3,3,0,0,19,192,0.0178571428571429,0,0,0.113095238095238,0.192577733199599
"T145","BH","DT",505,3039,5,12,0,1,0,1684,0.0237623762376238,0,0.00198019801980198,0,0.554129647910497
"T145","BH","ST",101,633,2,0,0,0,7,213,0,0,0,0.0693069306930693,0.336492890995261
"T151","CL","DT",376,2122,4,8,3,0,31,969,0.0212765957446809,0.00797872340425532,0,0.0824468085106383,0.456644674835061
"T151","CL","ST",150,849,2,3,0,2,4,137,0.02,0,0.0133333333333333,0.0266666666666667,0.161366313309776
"T152","CL","DT",474,2942,5,12,3,2,12,996,0.0253164556962025,0.00632911392405063,0.00421940928270042,0.0253164556962025,0.338545207341944
"T152","CL","ST",180,1122,3,2,1,0,26,131,0.0111111111111111,0.00555555555555556,0,0.144444444444444,0.116755793226381
"T154","CL","DT",267,1727,4,12,1,2,15,1382,0.0449438202247191,0.00374531835205993,0.00749063670411985,0.0561797752808989,0.80023161551824
"T154","CL","ST",210,1230,3,1,1,1,0,263,0.00476190476190476,0.00476190476190476,0.00476190476190476,0,0.213821138211382
"T156","CL","DT",203,1279,3,7,1,1,6,395,0.0344827586206897,0.00492610837438424,0.00492610837438424,0.0295566502463054,0.308835027365129
"T156","CL","ST",69,431,1,0,0,1,4,25,0,0,0.0144927536231884,0.0579710144927536,0.0580046403712297
"T157","CL","DT",356,2402,4,9,1,2,51,638,0.0252808988764045,0.00280898876404494,0.00561797752808989,0.143258426966292,0.265611990008326
"T157","CL","ST",110,788,2,4,2,2,0,91,0.0363636363636364,0.0181818181818182,0.0181818181818182,0,0.115482233502538
"T162","CL","DT",538,3106,5,7,0,3,1,1000,0.0130111524163569,0,0.00557620817843866,0.00185873605947955,0.321957501609788
"T162","CL","ST",100,611,2,0,0,1,6,93,0,0,0.01,0.06,0.152209492635025
"T166","BL","DT",375,2379,4,10,2,1,0,1162,0.0266666666666667,0.00533333333333333,0.00266666666666667,0,0.488440521227406
"T166","BL","ST",168,1036,3,1,1,0,0,150,0.00595238095238095,0.00595238095238095,0,0,0.144787644787645
"T172","BL","DT",165,1027,3,3,0,0,6,NA,0.0181818181818182,0,0,0.0363636363636364,NA
"T172","BL","ST",97,521,1,0,0,1,0,NA,0,0,0.0103092783505155,0,NA
"T173","BL","DT",678,4303,6,10,0,0,19,785,0.0147492625368732,0,0,0.028023598820059,0.18243086218917
"T173","BL","ST",232,1358,3,2,0,2,7,120,0.00862068965517241,0,0.00862068965517241,0.0301724137931034,0.0883652430044183
"T174","BL","DT",374,2331,4,8,0,2,11,647,0.0213903743315508,0,0.0053475935828877,0.0294117647058824,0.277563277563278
"T174","BL","ST",128,811,2,2,1,1,17,101,0.015625,0.0078125,0.0078125,0.1328125,0.124537607891492
"T175","BL","DT",404,2434,5,14,0,1,1,651,0.0346534653465347,0,0.00247524752475248,0.00247524752475248,0.267460969597371
"T175","BL","ST",164,1000,2,2,1,1,12,231,0.0121951219512195,0.00609756097560976,0.00609756097560976,0.0731707317073171,0.231
"T176","BL","DT",442,2514,4,18,1,4,1,515,0.0407239819004525,0.00226244343891403,0.00904977375565611,0.00226244343891403,0.204852824184566
"T176","BL","ST",113,661,1,6,0,2,8,103,0.0530973451327434,0,0.0176991150442478,0.0707964601769911,0.155824508320726
"T178","BL","DT",538,3319,5,13,0,4,20,647,0.0241635687732342,0,0.00743494423791822,0.0371747211895911,0.194938234407954
"T178","BL","ST",127,773,2,0,0,2,4,74,0,0,0.015748031496063,0.031496062992126,0.0957309184993532
