Timestamp,BR,RtoR
25/06/2018 12:58:48.747,1659,0.204
25/06/2018 12:58:48.803,1659,-0.221
25/06/2018 12:58:48.859,1658,-0.221
25/06/2018 12:58:48.915,1658,-0.221
25/06/2018 12:58:48.971,1657,-0.221
25/06/2018 12:58:49.027,1657,0.234
25/06/2018 12:58:49.083,1657,0.234
25/06/2018 12:58:49.139,1657,0.234
25/06/2018 12:58:49.195,1657,0.234
25/06/2018 12:58:49.251,1657,0.234
25/06/2018 12:58:49.307,1657,0.234
25/06/2018 12:58:49.363,1657,0.234
25/06/2018 12:58:49.419,1657,0.234
25/06/2018 12:58:49.475,1657,0.234
25/06/2018 12:58:49.531,1657,0.234
25/06/2018 12:58:49.587,1657,0.234
25/06/2018 12:58:49.643,1657,0.234
25/06/2018 12:58:49.699,1657,0.234
25/06/2018 12:58:49.755,1657,0.234
25/06/2018 12:58:49.811,1657,0.234
25/06/2018 12:58:49.867,1657,0.234
25/06/2018 12:58:49.923,1657,0.234
25/06/2018 12:58:49.979,1657,0.234
25/06/2018 12:58:50.035,1657,0.234
25/06/2018 12:58:50.091,1657,0.234
25/06/2018 12:58:50.147,1657,0.234
25/06/2018 12:58:50.203,1657,0.234
25/06/2018 12:58:50.259,1657,0.234
25/06/2018 12:58:50.315,1657,0.234
25/06/2018 12:58:50.371,1657,0.234
25/06/2018 12:58:50.427,1657,0.234
25/06/2018 12:58:50.483,1656,0.234
25/06/2018 12:58:50.539,1655,0.234
25/06/2018 12:58:50.595,1656,0.234
25/06/2018 12:58:50.651,1655,0.234
25/06/2018 12:58:50.707,1656,0.234
25/06/2018 12:58:50.763,1656,0.234
25/06/2018 12:58:50.819,1656,0.234
25/06/2018 12:58:50.875,1656,0.234
25/06/2018 12:58:50.931,1656,0.234
25/06/2018 12:58:50.987,1656,0.234
25/06/2018 12:58:51.043,1656,0.234
25/06/2018 12:58:51.099,1657,0.234
25/06/2018 12:58:51.155,1656,0.234
25/06/2018 12:58:51.211,1657,0.234
25/06/2018 12:58:51.267,1658,-2.315
25/06/2018 12:58:51.323,1659,-2.315
25/06/2018 12:58:51.379,1658,-2.315
25/06/2018 12:58:51.435,1658,-2.315
25/06/2018 12:58:51.491,1658,-2.315
25/06/2018 12:58:51.547,1658,-2.315
25/06/2018 12:58:51.603,1657,-2.315
25/06/2018 12:58:51.659,1657,-2.315
25/06/2018 12:58:51.715,1657,-2.315
25/06/2018 12:58:51.771,1657,-2.315
25/06/2018 12:58:51.827,1657,-2.315
25/06/2018 12:58:51.883,1657,-2.315
25/06/2018 12:58:51.939,1657,-2.315
25/06/2018 12:58:51.995,1656,-2.315
25/06/2018 12:58:52.051,1656,-2.315
25/06/2018 12:58:52.107,1656,-2.315
25/06/2018 12:58:52.163,1657,-2.315
25/06/2018 12:58:52.219,1657,-2.315
