Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
6.837,Tue Jul 03 01:43:20.780 2018,0,0,0,0,
6.855,Tue Jul 03 01:43:20.799 2018,0,0,0,0,
6.859,Tue Jul 03 01:43:20.802 2018,0,0,0,0,
6.865,Tue Jul 03 01:43:20.809 2018,0,0,0,0,
6.873,Tue Jul 03 01:43:20.816 2018,0,0,0,0,
6.883,Tue Jul 03 01:43:20.826 2018,0,0,0,0,
6.894,Tue Jul 03 01:43:20.838 2018,0,0,0,0,
6.907,Tue Jul 03 01:43:20.850 2018,0,0,0,0,
6.914,Tue Jul 03 01:43:20.858 2018,0,0,0,0,
6.945,Tue Jul 03 01:43:20.889 2018,0,0,0,0,
6.982,Tue Jul 03 01:43:20.926 2018,0,0,0,0,
6.989,Tue Jul 03 01:43:20.933 2018,0,0,0,0,
6.993,Tue Jul 03 01:43:20.937 2018,0,0,0,0,
6.996,Tue Jul 03 01:43:20.940 2018,0,0,0,0,
7,Tue Jul 03 01:43:20.944 2018,0,0,0,0,
7.002,Tue Jul 03 01:43:20.946 2018,0,0,0,0,
7.006,Tue Jul 03 01:43:20.949 2018,0,0,0,0,
7.012,Tue Jul 03 01:43:20.956 2018,0,0,0,0,
7.018,Tue Jul 03 01:43:20.962 2018,0,0,0,0,
7.028,Tue Jul 03 01:43:20.972 2018,0,0,0,0,
7.039,Tue Jul 03 01:43:20.983 2018,0,0,0,0,
7.049,Tue Jul 03 01:43:20.993 2018,0,0,0,0,
7.058,Tue Jul 03 01:43:21.002 2018,0,0,0,0,
7.068,Tue Jul 03 01:43:21.012 2018,0,0,0,0,
7.078,Tue Jul 03 01:43:21.022 2018,0,0,0,0,
7.089,Tue Jul 03 01:43:21.032 2018,0,0,0,0,
7.099,Tue Jul 03 01:43:21.042 2018,0,0,0,0,
7.108,Tue Jul 03 01:43:21.051 2018,0,0,0,0,
7.119,Tue Jul 03 01:43:21.062 2018,0,0,0,0,
7.13,Tue Jul 03 01:43:21.074 2018,0,0,0,0,
7.139,Tue Jul 03 01:43:21.082 2018,0,0,0,0,
7.149,Tue Jul 03 01:43:21.092 2018,0,0,0,0,
7.164,Tue Jul 03 01:43:21.107 2018,0,0,0,0,
7.172,Tue Jul 03 01:43:21.115 2018,0,0,0,0,
7.18,Tue Jul 03 01:43:21.124 2018,0,0,0,0,
7.192,Tue Jul 03 01:43:21.135 2018,0,0,0,0,
7.202,Tue Jul 03 01:43:21.145 2018,0,0,0,0,
7.231,Tue Jul 03 01:43:21.174 2018,0,0,0,0,
7.242,Tue Jul 03 01:43:21.185 2018,0,0,0,0,
7.244,Tue Jul 03 01:43:21.188 2018,0,0,0,0,
7.249,Tue Jul 03 01:43:21.192 2018,0,0,0,0,
7.257,Tue Jul 03 01:43:21.200 2018,0,0,0,0,
7.264,Tue Jul 03 01:43:21.208 2018,0,0,0,0,
7.275,Tue Jul 03 01:43:21.219 2018,0,0,0,0,
7.285,Tue Jul 03 01:43:21.229 2018,0,0,0,0,
7.314,Tue Jul 03 01:43:21.258 2018,0,0,0,0,
7.317,Tue Jul 03 01:43:21.261 2018,0,0,0,0,
7.324,Tue Jul 03 01:43:21.267 2018,0,0,0,0,
7.328,Tue Jul 03 01:43:21.272 2018,0,0,0,0,
7.337,Tue Jul 03 01:43:21.280 2018,0,0,0,0,
7.345,Tue Jul 03 01:43:21.289 2018,0,0,0,0,
7.358,Tue Jul 03 01:43:21.302 2018,0,0,0,0,
7.368,Tue Jul 03 01:43:21.312 2018,0,0,0,0,
7.378,Tue Jul 03 01:43:21.322 2018,0,0,0,0,
7.388,Tue Jul 03 01:43:21.332 2018,0,0,0,0,
7.407,Tue Jul 03 01:43:21.351 2018,0,0,0,0,
7.41,Tue Jul 03 01:43:21.354 2018,0,0,0,0,
7.412,Tue Jul 03 01:43:21.356 2018,0,0,0,0,
7.422,Tue Jul 03 01:43:21.366 2018,0,0,0,0,
7.432,Tue Jul 03 01:43:21.376 2018,0,0,0,0,
7.449,Tue Jul 03 01:43:21.393 2018,0,0,0,0,
7.457,Tue Jul 03 01:43:21.400 2018,0,0,0,0,
7.46,Tue Jul 03 01:43:21.403 2018,0,0,0,0,
7.473,Tue Jul 03 01:43:21.416 2018,0,0,0,0,
7.484,Tue Jul 03 01:43:21.427 2018,0,0,0,0,
7.495,Tue Jul 03 01:43:21.439 2018,0,0,0,0,
7.52,Tue Jul 03 01:43:21.464 2018,0,0,0,0,
7.525,Tue Jul 03 01:43:21.469 2018,0,0,0,0,
7.529,Tue Jul 03 01:43:21.473 2018,0,0,0,0,
7.537,Tue Jul 03 01:43:21.480 2018,0,0,0,0,
7.547,Tue Jul 03 01:43:21.490 2018,0,0,0,0,
7.557,Tue Jul 03 01:43:21.500 2018,0,0,0,0,
7.581,Tue Jul 03 01:43:21.525 2018,0,0,0,0,
7.598,Tue Jul 03 01:43:21.541 2018,0,0,0,0,
7.605,Tue Jul 03 01:43:21.549 2018,0,0,0,0,
7.609,Tue Jul 03 01:43:21.552 2018,0,0,0,0,
7.615,Tue Jul 03 01:43:21.558 2018,0,0,0,0,
7.619,Tue Jul 03 01:43:21.562 2018,0,0,0,0,
7.625,Tue Jul 03 01:43:21.569 2018,0,0,0,0,
7.635,Tue Jul 03 01:43:21.579 2018,0,0,0,0,
7.647,Tue Jul 03 01:43:21.590 2018,0,0,0,0,
7.658,Tue Jul 03 01:43:21.601 2018,0,0,0,0,
7.668,Tue Jul 03 01:43:21.612 2018,0,0,0,0,
7.677,Tue Jul 03 01:43:21.620 2018,0,0,0,0,
7.692,Tue Jul 03 01:43:21.636 2018,0,0,0,0,
7.722,Tue Jul 03 01:43:21.665 2018,0,0,0,0,
7.734,Tue Jul 03 01:43:21.678 2018,0,0,0,0,
7.738,Tue Jul 03 01:43:21.682 2018,0,0,0,0,
7.741,Tue Jul 03 01:43:21.685 2018,0,0,0,0,
7.745,Tue Jul 03 01:43:21.688 2018,0,0,0,0,
7.75,Tue Jul 03 01:43:21.694 2018,0,0,0,0,
7.76,Tue Jul 03 01:43:21.704 2018,0,0,0,0,
7.769,Tue Jul 03 01:43:21.713 2018,0,0,0,0,
7.783,Tue Jul 03 01:43:21.727 2018,0,0,0,0,
7.79,Tue Jul 03 01:43:21.734 2018,0,0,0,0,
7.8,Tue Jul 03 01:43:21.744 2018,0,0,0,0,
7.81,Tue Jul 03 01:43:21.754 2018,0,0,0,0,
7.822,Tue Jul 03 01:43:21.766 2018,0,0,0,0,
7.832,Tue Jul 03 01:43:21.776 2018,0,0,0,0,
7.843,Tue Jul 03 01:43:21.786 2018,0,0,0,0,
7.853,Tue Jul 03 01:43:21.796 2018,0,0,0,0,
7.865,Tue Jul 03 01:43:21.809 2018,0,0,0,0,
7.873,Tue Jul 03 01:43:21.816 2018,0,0,0,0,
7.883,Tue Jul 03 01:43:21.826 2018,0,0,0,0,
7.892,Tue Jul 03 01:43:21.835 2018,0,0,0,0,
7.91,Tue Jul 03 01:43:21.854 2018,0,0,0,0,
7.918,Tue Jul 03 01:43:21.861 2018,0,0,0,0,
7.929,Tue Jul 03 01:43:21.872 2018,0,0,0,0,
7.935,Tue Jul 03 01:43:21.879 2018,0,0,0,0,
7.947,Tue Jul 03 01:43:21.890 2018,0,0,0,0,
7.958,Tue Jul 03 01:43:21.901 2018,0,0,0,0,
7.968,Tue Jul 03 01:43:21.911 2018,0,0,0,0,
7.975,Tue Jul 03 01:43:21.919 2018,0,0,0,0,
7.999,Tue Jul 03 01:43:21.943 2018,0,0,0,0,
8.007,Tue Jul 03 01:43:21.950 2018,0,0,0,0,
8.014,Tue Jul 03 01:43:21.958 2018,0,0,0,0,
8.017,Tue Jul 03 01:43:21.961 2018,0,0,0,0,
8.028,Tue Jul 03 01:43:21.971 2018,0,0,0,0,
8.037,Tue Jul 03 01:43:21.980 2018,0,0,0,0,
8.077,Tue Jul 03 01:43:22.020 2018,0,0,0,0,
8.08,Tue Jul 03 01:43:22.024 2018,0,0,0,0,
8.087,Tue Jul 03 01:43:22.030 2018,0,0,0,0,
8.09,Tue Jul 03 01:43:22.033 2018,0,0,0,0,
8.094,Tue Jul 03 01:43:22.038 2018,0,0,0,0,
8.102,Tue Jul 03 01:43:22.046 2018,0,0,0,0,
8.108,Tue Jul 03 01:43:22.052 2018,0,0,0,0,
8.119,Tue Jul 03 01:43:22.063 2018,0,0,0,0,
8.129,Tue Jul 03 01:43:22.073 2018,0,0,0,0,
8.14,Tue Jul 03 01:43:22.084 2018,0,0,0,0,
8.152,Tue Jul 03 01:43:22.096 2018,0,0,0,0,
8.159,Tue Jul 03 01:43:22.103 2018,0,0,0,0,
8.164,Tue Jul 03 01:43:22.108 2018,0,0,0,0,
8.172,Tue Jul 03 01:43:22.116 2018,0,0,0,0,
8.183,Tue Jul 03 01:43:22.127 2018,0,0,0,0,
8.193,Tue Jul 03 01:43:22.137 2018,0,0,0,0,
8.223,Tue Jul 03 01:43:22.166 2018,0,0,0,0,
8.248,Tue Jul 03 01:43:22.191 2018,0,0,0,0,
8.252,Tue Jul 03 01:43:22.195 2018,0,0,0,0,
8.255,Tue Jul 03 01:43:22.198 2018,0,0,0,0,
8.258,Tue Jul 03 01:43:22.201 2018,0,0,0,0,
8.262,Tue Jul 03 01:43:22.205 2018,0,0,0,0,
8.268,Tue Jul 03 01:43:22.211 2018,0,0,0,0,
8.277,Tue Jul 03 01:43:22.220 2018,0,0,0,0,
8.289,Tue Jul 03 01:43:22.232 2018,0,0,0,0,
8.297,Tue Jul 03 01:43:22.240 2018,0,0,0,0,
8.309,Tue Jul 03 01:43:22.253 2018,0,0,0,0,
8.318,Tue Jul 03 01:43:22.261 2018,0,0,0,0,
8.335,Tue Jul 03 01:43:22.279 2018,0,0,0,0,
8.344,Tue Jul 03 01:43:22.288 2018,0,0,0,0,
8.347,Tue Jul 03 01:43:22.291 2018,0,0,0,0,
8.358,Tue Jul 03 01:43:22.301 2018,0,0,0,0,
8.379,Tue Jul 03 01:43:22.323 2018,0,0,0,0,
8.384,Tue Jul 03 01:43:22.327 2018,0,0,0,0,
8.412,Tue Jul 03 01:43:22.355 2018,0,0,0,0,
8.415,Tue Jul 03 01:43:22.358 2018,0,0,0,0,
8.421,Tue Jul 03 01:43:22.365 2018,0,0,0,0,
8.428,Tue Jul 03 01:43:22.371 2018,0,0,0,0,
8.432,Tue Jul 03 01:43:22.375 2018,0,0,0,0,
8.44,Tue Jul 03 01:43:22.384 2018,0,0,0,0,
8.45,Tue Jul 03 01:43:22.394 2018,0,0,0,0,
8.463,Tue Jul 03 01:43:22.407 2018,0,0,0,0,
8.47,Tue Jul 03 01:43:22.414 2018,0,0,0,0,
8.485,Tue Jul 03 01:43:22.429 2018,0,0,0,0,
8.494,Tue Jul 03 01:43:22.438 2018,0,0,0,0,
8.504,Tue Jul 03 01:43:22.448 2018,0,0,0,0,
8.514,Tue Jul 03 01:43:22.458 2018,0,0,0,0,
8.523,Tue Jul 03 01:43:22.467 2018,0,0,0,0,
8.534,Tue Jul 03 01:43:22.478 2018,0,0,0,0,
8.549,Tue Jul 03 01:43:22.493 2018,0,0,0,0,
8.557,Tue Jul 03 01:43:22.501 2018,0,0,0,0,
8.569,Tue Jul 03 01:43:22.513 2018,0,0,0,0,
8.577,Tue Jul 03 01:43:22.520 2018,0,0,0,0,
8.584,Tue Jul 03 01:43:22.527 2018,0,0,0,0,
8.596,Tue Jul 03 01:43:22.539 2018,0,0,0,0,
8.604,Tue Jul 03 01:43:22.547 2018,0,0,0,0,
8.614,Tue Jul 03 01:43:22.557 2018,0,0,0,0,
8.644,Tue Jul 03 01:43:22.587 2018,0,0,0,0,
8.649,Tue Jul 03 01:43:22.592 2018,0,0,0,0,
8.652,Tue Jul 03 01:43:22.595 2018,0,0,0,0,
8.655,Tue Jul 03 01:43:22.599 2018,0,0,0,0,
8.669,Tue Jul 03 01:43:22.613 2018,0,0,0,0,
8.677,Tue Jul 03 01:43:22.620 2018,0,0,0,0,
8.689,Tue Jul 03 01:43:22.633 2018,0,0,0,0,
8.7,Tue Jul 03 01:43:22.644 2018,0,0,0,0,
8.71,Tue Jul 03 01:43:22.654 2018,0,0,0,0,
8.718,Tue Jul 03 01:43:22.661 2018,0,0,0,0,
8.728,Tue Jul 03 01:43:22.671 2018,0,0,0,0,
8.739,Tue Jul 03 01:43:22.683 2018,0,0,0,0,
8.749,Tue Jul 03 01:43:22.693 2018,0,0,0,0,
8.76,Tue Jul 03 01:43:22.704 2018,0,0,0,0,
8.769,Tue Jul 03 01:43:22.713 2018,0,0,0,0,
8.779,Tue Jul 03 01:43:22.723 2018,0,0,0,0,
8.79,Tue Jul 03 01:43:22.734 2018,0,0,0,0,
8.802,Tue Jul 03 01:43:22.745 2018,0,0,0,0,
