Time,BtoB
,2270
,1310
,1750
,2140
,2090
,1670
,2020
,2450
,4040
,6140
,4480
,3190
,1330
,3020
,2810
,3350
,2390
,3060
,3180
,3240
,3170
,2840
,3250
,3020
,3120
,3360
,2810
,3870
,1200
,3230
,3670
,3180
,5040
,1630
,1510
,2910
,1930
,2220
,3530
,1390
,1460
,1360
,1430
,970
,1430
,2660
,1910
,3630
,2060
,3120
,1430
,8150
,4550
,6640
,5700
,1640
,1490
,2840
,1180
,1190
,1490
,1480
,2010
,1070
,2440
,2670
,2830
,1490
,1390
,3030
,2970
,2390
,6630
,3890
,1710
,4910
,2700
,2870
,4220
,830
,6040
,4040
,3760
,5110
,1520
,5080
,5320
,3380
,770
,2970
,1190
,2600
,5220
,3290
,5450
,3070
,3170
,1130
,4340
,3580
,960
,2710
,1980
,570
,1710
,7690
,1380
,2550
,3840
,1460
,3350
,2710
,1930
,1460
,1130
,3050
,2610
,3470
,2060
,1050
,2100
,1280
,1760
,2270
,1420
,1720
,2630
,3570
,1030
,1040
,2920
,3300
,3270
,3000
,3070
,890
,1270
,1560
,2200
,2690
,3280
,2200
,1760
,2320
,2760
,3870
,2320
,2770
,3260
,2440
,6040
,1600
,6200
