Time,BreathingWaveform
18/07/2018 10:31:12.592,6519776
18/07/2018 10:31:12.632,6519724
18/07/2018 10:31:12.672,6519828
18/07/2018 10:31:12.712,6520189
18/07/2018 10:31:12.752,6520138
18/07/2018 10:31:12.792,6519518
18/07/2018 10:31:12.832,6519828
18/07/2018 10:31:12.872,6519570
18/07/2018 10:31:12.912,6518744
18/07/2018 10:31:12.952,6518796
18/07/2018 10:31:12.992,6518796
18/07/2018 10:31:13.032,6519518
18/07/2018 10:31:13.072,6519724
18/07/2018 10:31:13.112,6519363
18/07/2018 10:31:13.152,6516886
18/07/2018 10:31:13.192,6517815
18/07/2018 10:31:13.232,6518073
18/07/2018 10:31:13.272,6517298
18/07/2018 10:31:13.312,6517763
18/07/2018 10:31:13.352,6517918
18/07/2018 10:31:13.392,6518847
18/07/2018 10:31:13.432,6518692
18/07/2018 10:31:13.472,6518382
18/07/2018 10:31:13.512,6516266
18/07/2018 10:31:13.552,6516214
18/07/2018 10:31:13.592,6514718
18/07/2018 10:31:13.632,6511053
18/07/2018 10:31:13.672,6507956
18/07/2018 10:31:13.712,6505426
18/07/2018 10:31:13.752,6505323
18/07/2018 10:31:13.792,6506149
18/07/2018 10:31:13.832,6509969
18/07/2018 10:31:13.872,6514563
18/07/2018 10:31:13.912,6511517
18/07/2018 10:31:13.952,6512705
18/07/2018 10:31:13.992,6511930
18/07/2018 10:31:14.032,6512395
18/07/2018 10:31:14.072,6513169
18/07/2018 10:31:14.112,6517918
18/07/2018 10:31:14.152,6516369
18/07/2018 10:31:14.192,6513788
18/07/2018 10:31:14.232,6513117
18/07/2018 10:31:14.272,6511156
18/07/2018 10:31:14.312,6510743
18/07/2018 10:31:14.352,6511414
18/07/2018 10:31:14.392,6511466
18/07/2018 10:31:14.432,6511930
18/07/2018 10:31:14.472,6510743
18/07/2018 10:31:14.512,6511362
18/07/2018 10:31:14.552,6511517
18/07/2018 10:31:14.592,6512033
18/07/2018 10:31:14.632,6511259
18/07/2018 10:31:14.672,6511672
18/07/2018 10:31:14.712,6510640
18/07/2018 10:31:14.752,6509917
18/07/2018 10:31:14.792,6509969
18/07/2018 10:31:14.832,6509762
18/07/2018 10:31:14.872,6510330
18/07/2018 10:31:14.912,6509349
18/07/2018 10:31:14.952,6508678
18/07/2018 10:31:14.992,6508162
18/07/2018 10:31:15.032,6507646
18/07/2018 10:31:15.072,6507801
18/07/2018 10:31:15.112,6507801
18/07/2018 10:31:15.152,6507801
18/07/2018 10:31:15.192,6510330
18/07/2018 10:31:15.232,6510485
18/07/2018 10:31:15.272,6510227
18/07/2018 10:31:15.312,6508420
18/07/2018 10:31:15.352,6507594
18/07/2018 10:31:15.392,6505891
18/07/2018 10:31:15.432,6506459
18/07/2018 10:31:15.472,6504239
18/07/2018 10:31:15.512,6504755
18/07/2018 10:31:15.552,6507697
18/07/2018 10:31:15.592,6507646
18/07/2018 10:31:15.632,6507440
18/07/2018 10:31:15.672,6513840
18/07/2018 10:31:15.712,6522305
18/07/2018 10:31:15.752,6541714
18/07/2018 10:31:15.792,6536552
18/07/2018 10:31:15.832,6517660
18/07/2018 10:31:15.872,6509711
18/07/2018 10:31:15.912,6508317
18/07/2018 10:31:15.952,6503620
18/07/2018 10:31:15.992,6498251
18/07/2018 10:31:16.032,6500936
18/07/2018 10:31:16.072,6508885
18/07/2018 10:31:16.112,6505065
18/07/2018 10:31:16.152,6508524
18/07/2018 10:31:16.192,6504549
18/07/2018 10:31:16.232,6502639
18/07/2018 10:31:16.272,6526280
18/07/2018 10:31:16.312,6522821
18/07/2018 10:31:16.352,6522047
18/07/2018 10:31:16.392,6524628
18/07/2018 10:31:16.432,6526899
18/07/2018 10:31:16.472,6507181
18/07/2018 10:31:16.512,6500987
18/07/2018 10:31:16.552,6507697
18/07/2018 10:31:16.592,6506201
18/07/2018 10:31:16.632,6503362
18/07/2018 10:31:16.672,6507336
18/07/2018 10:31:16.712,6514975
18/07/2018 10:31:16.752,6525248
18/07/2018 10:31:16.792,6528603
18/07/2018 10:31:16.832,6532061
18/07/2018 10:31:16.872,6542746
18/07/2018 10:31:16.912,6540527
18/07/2018 10:31:16.952,6542282
18/07/2018 10:31:16.992,6539752
18/07/2018 10:31:17.032,6540010
18/07/2018 10:31:17.072,6543004
18/07/2018 10:31:17.112,6543159
18/07/2018 10:31:17.152,6542849
18/07/2018 10:31:17.192,6539443
18/07/2018 10:31:17.232,6539391
18/07/2018 10:31:17.272,6540165
18/07/2018 10:31:17.312,6541352
18/07/2018 10:31:17.352,6539391
18/07/2018 10:31:17.392,6543107
18/07/2018 10:31:17.432,6544811
18/07/2018 10:31:17.472,6544656
18/07/2018 10:31:17.512,6547237
