"Subject","Condition","Session","PerformanceCriteria","Value"
"T035","IL","ST","MechanicErrorsRelative","0.0705882352941176"
"T037","IL","DT","MechanicErrorsRelative","0.00632911392405063"
"T037","IL","ST","MechanicErrorsRelative","0.010752688172043"
"T046","BL","DT","MechanicErrorsRelative","0.0542986425339367"
"T046","BL","ST","MechanicErrorsRelative","0.113207547169811"
"T047","BL","DT","MechanicErrorsRelative","0.0731707317073171"
"T047","BL","ST","MechanicErrorsRelative","0.024390243902439"
"T051","BL","DT","MechanicErrorsRelative","0.0410094637223975"
"T051","BL","ST","MechanicErrorsRelative","0.040650406504065"
"T061","IH","DT","MechanicErrorsRelative","0.0230769230769231"
"T061","IH","ST","MechanicErrorsRelative","0"
"T063","IH","DT","MechanicErrorsRelative","0.0263157894736842"
"T063","IH","ST","MechanicErrorsRelative","0.025"
"T064","IH","DT","MechanicErrorsRelative","0.0458015267175573"
"T064","IH","ST","MechanicErrorsRelative","0"
"T065","IH","DT","MechanicErrorsRelative","0.0189189189189189"
"T065","IH","ST","MechanicErrorsRelative","0.0157894736842105"
"T066","IH","DT","MechanicErrorsRelative","0.0207612456747405"
"T066","IH","ST","MechanicErrorsRelative","0"
"T068","IH","DT","MechanicErrorsRelative","0.0449438202247191"
"T068","IH","ST","MechanicErrorsRelative","0.0218579234972678"
"T077","BH","DT","MechanicErrorsRelative","0.0259067357512953"
"T077","BH","ST","MechanicErrorsRelative","0.0168067226890756"
"T078","BH","DT","MechanicErrorsRelative","0.00961538461538462"
"T078","BH","ST","MechanicErrorsRelative","0.0166666666666667"
"T079","BH","DT","MechanicErrorsRelative","0.0170940170940171"
"T079","BH","ST","MechanicErrorsRelative","0"
"T082","BH","DT","MechanicErrorsRelative","0.0281329923273657"
"T082","BH","ST","MechanicErrorsRelative","0.0193548387096774"
"T083","BH","DT","MechanicErrorsRelative","0.032"
"T083","BH","ST","MechanicErrorsRelative","0"
"T084","BH","DT","MechanicErrorsRelative","0.0150093808630394"
"T084","BH","ST","MechanicErrorsRelative","0.0136986301369863"
"T091","IL","DT","MechanicErrorsRelative","0.0559440559440559"
"T091","IL","ST","MechanicErrorsRelative","0.018348623853211"
"T092","IL","DT","MechanicErrorsRelative","0.0375335120643432"
"T092","IL","ST","MechanicErrorsRelative","0.0075187969924812"
"T093","IL","DT","MechanicErrorsRelative","0.014018691588785"
"T093","IL","ST","MechanicErrorsRelative","0.0405405405405405"
"T094","IL","DT","MechanicErrorsRelative","0.0522388059701493"
"T094","IL","ST","MechanicErrorsRelative","0.00961538461538462"
"T096","IL","DT","MechanicErrorsRelative","0.0373134328358209"
"T096","IL","ST","MechanicErrorsRelative","0.0451127819548872"
"T098","IL","DT","MechanicErrorsRelative","0.0239520958083832"
"T098","IL","ST","MechanicErrorsRelative","0"
"T099","IL","DT","MechanicErrorsRelative","0.0562130177514793"
"T099","IL","ST","MechanicErrorsRelative","0.0352112676056338"
"T106","BL","DT","MechanicErrorsRelative","0.108108108108108"
"T106","BL","ST","MechanicErrorsRelative","0"
"T112","BL","DT","MechanicErrorsRelative","0"
"T112","BL","ST","MechanicErrorsRelative","0.0227272727272727"
"T113","BL","DT","MechanicErrorsRelative","0.0274725274725275"
"T113","BL","ST","MechanicErrorsRelative","0.0377358490566038"
"T114","BL","DT","MechanicErrorsRelative","0.0257510729613734"
"T114","BL","ST","MechanicErrorsRelative","0.0106382978723404"
"T121","IH","DT","MechanicErrorsRelative","0.0161943319838057"
"T121","IH","ST","MechanicErrorsRelative","0"
"T122","IH","DT","MechanicErrorsRelative","0.02734375"
"T122","IH","ST","MechanicErrorsRelative","0.0151515151515152"
"T124","IH","DT","MechanicErrorsRelative","0.015625"
"T124","IH","ST","MechanicErrorsRelative","0"
"T126","IH","DT","MechanicErrorsRelative","0.0325497287522604"
"T126","IH","ST","MechanicErrorsRelative","0.0317460317460317"
"T128","IH","DT","MechanicErrorsRelative","0.036036036036036"
"T128","IH","ST","MechanicErrorsRelative","0"
"T130","IH","DT","MechanicErrorsRelative","0.032319391634981"
"T130","IH","ST","MechanicErrorsRelative","0.0105263157894737"
"T132","IH","DT","MechanicErrorsRelative","0.00683760683760684"
"T132","IH","ST","MechanicErrorsRelative","0.018018018018018"
"T138","BH","DT","MechanicErrorsRelative","0.00711743772241993"
"T138","BH","ST","MechanicErrorsRelative","0.00561797752808989"
"T139","BH","DT","MechanicErrorsRelative","0.0363636363636364"
"T139","BH","ST","MechanicErrorsRelative","0.008"
"T141","BH","DT","MechanicErrorsRelative","0.0376344086021505"
"T141","BH","ST","MechanicErrorsRelative","0.0258620689655172"
"T144","BH","DT","MechanicErrorsRelative","0.05"
"T144","BH","ST","MechanicErrorsRelative","0.0178571428571429"
"T145","BH","DT","MechanicErrorsRelative","0.0237623762376238"
"T145","BH","ST","MechanicErrorsRelative","0"
"T151","IL","DT","MechanicErrorsRelative","0.0212765957446809"
"T151","IL","ST","MechanicErrorsRelative","0.02"
"T152","IL","DT","MechanicErrorsRelative","0.0253164556962025"
"T152","IL","ST","MechanicErrorsRelative","0.0111111111111111"
"T154","IL","DT","MechanicErrorsRelative","0.0449438202247191"
"T154","IL","ST","MechanicErrorsRelative","0.00476190476190476"
"T156","IL","DT","MechanicErrorsRelative","0.0344827586206897"
"T156","IL","ST","MechanicErrorsRelative","0"
"T157","IL","DT","MechanicErrorsRelative","0.0252808988764045"
"T157","IL","ST","MechanicErrorsRelative","0.0363636363636364"
"T162","IL","DT","MechanicErrorsRelative","0.0130111524163569"
"T162","IL","ST","MechanicErrorsRelative","0"
"T166","BL","DT","MechanicErrorsRelative","0.0266666666666667"
