Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
10.78,Fri Jul 06 10:39:42.244 2018,0,0,0,0,
10.789,Fri Jul 06 10:39:42.254 2018,0,0,0,0,
10.8,Fri Jul 06 10:39:42.264 2018,0,0,0,0,
10.809,Fri Jul 06 10:39:42.274 2018,0,0,0,0,
10.819,Fri Jul 06 10:39:42.284 2018,0,0,0,0,
10.831,Fri Jul 06 10:39:42.295 2018,0,0,0,0,
10.843,Fri Jul 06 10:39:42.308 2018,0,0,0,0,
10.851,Fri Jul 06 10:39:42.315 2018,0,0,0,0,
10.861,Fri Jul 06 10:39:42.325 2018,0,0,0,0,
10.872,Fri Jul 06 10:39:42.336 2018,0,0,0,0,
10.882,Fri Jul 06 10:39:42.346 2018,0,0,0,0,
10.892,Fri Jul 06 10:39:42.357 2018,0,0,0,0,
10.902,Fri Jul 06 10:39:42.367 2018,0,0,0,0,
10.913,Fri Jul 06 10:39:42.378 2018,0,0,0,0,
10.923,Fri Jul 06 10:39:42.388 2018,0,0,0,0,
10.933,Fri Jul 06 10:39:42.398 2018,0,0,0,0,
10.945,Fri Jul 06 10:39:42.409 2018,0,0,0,0,
10.956,Fri Jul 06 10:39:42.420 2018,0,0,0,0,
10.966,Fri Jul 06 10:39:42.430 2018,0,0,0,0,
10.976,Fri Jul 06 10:39:42.439 2018,0,0,0,0,
10.986,Fri Jul 06 10:39:42.450 2018,0,0,0,0,
10.997,Fri Jul 06 10:39:42.461 2018,0,0,0,0,
11.007,Fri Jul 06 10:39:42.471 2018,0,0,0,0,
11.017,Fri Jul 06 10:39:42.481 2018,0,0,0,0,
11.027,Fri Jul 06 10:39:42.491 2018,0,0,0,0,
11.038,Fri Jul 06 10:39:42.502 2018,0,0,0,0,
11.048,Fri Jul 06 10:39:42.512 2018,0,0,0,0,
11.058,Fri Jul 06 10:39:42.522 2018,0,0,0,0,
11.068,Fri Jul 06 10:39:42.532 2018,0,0,0,0,
11.079,Fri Jul 06 10:39:42.544 2018,0,0,0,0,
11.09,Fri Jul 06 10:39:42.554 2018,0,0,0,0,
11.1,Fri Jul 06 10:39:42.564 2018,0,0,0,0,
11.109,Fri Jul 06 10:39:42.574 2018,0,0,0,0,
11.121,Fri Jul 06 10:39:42.585 2018,0,0,0,0,
11.131,Fri Jul 06 10:39:42.595 2018,0,0,0,0,
11.141,Fri Jul 06 10:39:42.605 2018,0,0,0,0,
11.149,Fri Jul 06 10:39:42.614 2018,0,0,0,0,
11.163,Fri Jul 06 10:39:42.627 2018,0,0,0,0,
11.171,Fri Jul 06 10:39:42.635 2018,0,0,0,0,
11.181,Fri Jul 06 10:39:42.645 2018,0,0,0,0,
11.191,Fri Jul 06 10:39:42.655 2018,0,0,0,0,
11.202,Fri Jul 06 10:39:42.666 2018,0,0,0,0,
11.212,Fri Jul 06 10:39:42.677 2018,0,0,0,0,
11.222,Fri Jul 06 10:39:42.686 2018,0,0,0,0,
11.232,Fri Jul 06 10:39:42.696 2018,0,0,0,0,
11.262,Fri Jul 06 10:39:42.726 2018,0,0,0,0,
11.36,Fri Jul 06 10:39:42.824 2018,0,0,0,0,
11.367,Fri Jul 06 10:39:42.830 2018,0,0,0,0,
11.373,Fri Jul 06 10:39:42.837 2018,0,0,0,0,
13.793,Fri Jul 06 10:39:45.257 2018,0,0,0,0,
13.801,Fri Jul 06 10:39:45.265 2018,0,0,0,0,
13.809,Fri Jul 06 10:39:45.273 2018,0,0,0,0,
