"CovertedTime","Time","NR_Perspiration","Perspiration","Session","EDA","HR"
2018-08-08 11:13:04,184,0.00299987712062074,0.00239832433333333,"RestingBaseline",0.421792,91.6
2018-08-08 11:13:05,185,0.00299678121079071,0.00203111064285714,"RestingBaseline",0.420512,91.6
2018-08-08 11:13:06,186,0.00299360650803079,0.00218580013333333,"RestingBaseline",0.419872,91.58
2018-08-08 11:13:07,187,0.00299027135119434,0.0024813936,"RestingBaseline",0.418912,91.53
2018-08-08 11:13:08,188,0.002987024087374,0.002757738,"RestingBaseline",0.416992,91.5
2018-08-08 11:13:09,189,0.00298388834264773,0.00294857542857143,"RestingBaseline",0.414752,91.47
2018-08-08 11:13:10,190,0.00298065916703669,0.00211536586666667,"RestingBaseline",0.412512,91.42
2018-08-08 11:13:11,191,0.00297757337331038,0.00286389492307692,"RestingBaseline",0.412832,91.35
2018-08-08 11:13:12,192,0.00297464019560292,0.00281071964285714,"RestingBaseline",0.41283175,91.28
2018-08-08 11:13:13,193,0.00297165072362173,0.00288494028571429,"RestingBaseline",0.41219175,91.25
2018-08-08 11:13:14,194,0.00296892865603792,0.00308011925,"RestingBaseline",0.41091125,91.25
2018-08-08 11:13:15,195,0.00296616491079185,0.00333848026666667,"RestingBaseline",0.41059125,91.25
2018-08-08 11:13:16,196,0.0029631710724831,0.00226765606666667,"RestingBaseline",0.4115515,91.27
2018-08-08 11:13:17,197,0.00296035942101479,0.00478186471428571,"RestingBaseline",0.409951,91.3
2018-08-08 11:13:18,198,0.00295763429844329,0.0036033714,"RestingBaseline",0.407391,91.32
2018-08-08 11:13:19,199,0.00295482030306997,0.00252167475,"RestingBaseline",0.405151,91.33
2018-08-08 11:13:20,200,0.00295219749081582,0.00447001721428571,"RestingBaseline",0.405791,91.33
2018-08-08 11:13:21,201,0.00294976424555635,0.0026490746,"RestingBaseline",0.407391,91.32
2018-08-08 11:13:22,202,0.00294735644876888,0.00292468266666667,"RestingBaseline",0.407071,91.28
2018-08-08 11:13:23,203,0.002945215078187,0.00308917746153846,"RestingBaseline",0.405471,91.25
2018-08-08 11:13:24,204,0.00294339682839435,0.00365765733333333,"RestingBaseline",0.405791,91.22
2018-08-08 11:13:25,205,0.00294160737908756,0.002392389,"RestingBaseline",0.404511,91.2
2018-08-08 11:13:26,206,0.00293986189320502,0.00201614038461538,"RestingBaseline",0.402591,91.18
2018-08-08 11:13:27,207,0.00293818719483717,0.00269902186666667,"RestingBaseline",0.400351,91.17
2018-08-08 11:13:28,208,0.00293655349298169,0.0022769782,"RestingBaseline",0.39875075,91.15
2018-08-08 11:13:29,209,0.00293519061807415,0.001942215,"RestingBaseline",0.39811025,91.13
2018-08-08 11:13:30,210,0.00293400299996625,0.00386586586666667,"RestingBaseline",0.39715025,91.12
2018-08-08 11:13:31,211,0.00293296433620236,0.00370585192857143,"RestingBaseline",0.39907075,91.12
2018-08-08 11:13:32,212,0.00293216497559646,0.00449084635714286,"RestingBaseline",0.3990705,91.1
2018-08-08 11:13:33,213,0.00293159487435119,0.00206966953846154,"RestingBaseline",0.39683,91.1
2018-08-08 11:13:34,214,0.0029312316863257,0.00200002266666667,"RestingBaseline",0.39523,91.08
2018-08-08 11:13:35,215,0.00293110720654731,0.00254471107142857,"RestingBaseline",0.39139,91.08
2018-08-08 11:13:36,216,0.00293125111874085,0.0031588535,"RestingBaseline",0.39203,91.08
2018-08-08 11:13:37,217,0.00293166800268867,0.00194611378571429,"RestingBaseline",0.39203,91.08
2018-08-08 11:13:38,218,0.00293240469806437,0.0022411858,"RestingBaseline",0.39011,91.08
2018-08-08 11:13:39,219,0.00293346112176121,0.00252656121428571,"RestingBaseline",0.38819,91.05
2018-08-08 11:13:40,220,0.00293491568425819,0.0025474891875,"RestingBaseline",0.38562925,91
2018-08-08 11:13:41,221,0.00293673791747709,0.00267805457142857,"RestingBaseline",0.38755,90.95
2018-08-08 11:13:42,222,0.00293863124304997,0.00228160575,"RestingBaseline",0.38883,90.87
2018-08-08 11:13:43,223,0.00294092468448238,0.00238215033333333,"RestingBaseline",0.38755,90.78
2018-08-08 11:13:44,224,0.00294374733913946,0.00264885407142857,"RestingBaseline",0.3856295,90.72
2018-08-08 11:13:45,225,0.00294696243410252,0.00237447733333333,"RestingBaseline",0.381789,90.65
2018-08-08 11:13:46,226,0.00295069982831127,0.00251208426666667,"RestingBaseline",0.382109,90.57
2018-08-08 11:13:47,227,0.00295486140933113,0.00220584866666667,"RestingBaseline",0.379869,90.48
2018-08-08 11:13:48,228,0.00295928633007793,0.00203409192857143,"RestingBaseline",0.378909,90.38
2018-08-08 11:13:49,229,0.00296411227439304,0.00225482306666667,"RestingBaseline",0.378589,90.27
2018-08-08 11:13:50,230,0.00296951614743974,0.00261857146666667,"RestingBaseline",0.376029,90.15
2018-08-08 11:13:51,231,0.00297533513657673,0.003439202,"RestingBaseline",0.378909,90.02
